#
# This table lists comments for all keys in the FIFI-LS header definition.
# Keys are defined in a separate table (headerdef.dat).
# The key column is separated from the comment column by a comma.
#
#keyword ,  comment
#-----------------------------------------------------------------
AIRSPEED , "True aircraft speed"
G_CYC_B  , "Number of grating cycles (up-down)"
G_CYC_R  , "Number of grating cycles (up-down)"
G_ORD_B  , "Blue grating order to be used"
G_PSDN_B , "Number of grating position down in 1 cycle"
G_PSDN_R , "Number of grating position down in 1 cycle"
G_PSUP_B , "Number of grating position up in 1 cycle"
G_PSUP_R , "Number of grating position up in 1 cycle"
G_STRT_B , "Absolute starting value (inductosyn)"
G_STRT_R , "Absolute starting value (inductosyn)"
G_SZDN_B , "Step size on the way down (inductosyn)"
G_SZDN_R , "Step size on the way down (inductosyn)"
G_SZUP_B , "Step size on the way up (inductosyn)"
G_SZUP_R , "Step size on the way up (inductosyn)"
GRDSPEED , "Aircraft ground speed"
HEADING  , "Aircraft true heading"
HEADSTAT , "Header status"
IMAGEID  , "Image identification index"
INSTCFG  , "Instrument configuration"
INSTMODE , "Instrument observing mode"
INSTRUME , "Instrument name"
KWDICT   , "SOFIA Keyword dictionary version"
LASTREW  , "Time of last rewind (UTC)"
LAT_END  , "Aircraft latitude, end of obs."
LAT_STA  , "Aircraft latitude, start of obs"
LON_END  , "Aircraft longitude, end of obs."
LON_STA  , "Aircraft longitude, start of obs"
MAPCRSYS , "Coordinate system for mapping"
MAPINTX  , "Mapping step interval in x (arcmin)"
MAPINTY  , "Mapping step interval in y (arcmin)"
MAPNXPOS , "Number of map positions in x"
MAPNYPOS , "Number of map positions in y"
MAPPING  , "Mapping flag"
MCCSMODE , "MCCS SI Mode"
MISSN-ID , "Mission ID"
N_SPEC   , "Number of spectra in file"
NEXP     , "Number of exposures in source"
NODAMP   , "Nod amplitude on sky"
NODANGLE , "Nod angle"
NODBEAM  , "Nod beam position"
NODCRSYS , "Coordinate system for nod angle"
NODDING  , "Nodding flag"
NODN     , "Nod cycles"
NODPATT  , "Nodding pattern, one cycle"
NODSETL  , "Nod settle time"
NODSTYLE , "Chop/nod style"
NODTIME  , "Nod time"
OBJECT   , "Object name"
OBS_ID   , "SOFIA observation identification"
OBSBET   , "Second angle in deg"
OBSDEC   , "Dec - requested"
OBSERVER , "Observer(s)"
OBSLAM   , "First angle in deg"
OBSRA    , "RA - requested"
OBSTYPE  , "Observation type"
OPERATOR , "Telescope operator"
ORIGIN   , "Origin of FITS file"
PIPELINE , "Pipeline/processing software"
PIPEVERS , "Pipeline version"
PIXSCAL  , "Pixel scale"
PLANID   , "Observing plan identification"
PLATSCAL , "Plate scale of focal plane (arcsec/mm)"
PROCSTAT , "Processing status"
PRODTYPE , "Product type"
RAMPLN_B , "Number of readouts per ramp"
RAMPLN_R , "Number of readouts per ramp"
RAWUNITS , "Raw data units"
RESFILE  , "Spectral resolution file name"
RESOLUN  , "Spectral resolution of observation"
RSPNFILE , "Instrumental response file name"
SCANNING , "Scanning flag"
SCNDEC0  , "Start of scan - Dec."
SCNDECF  , "End of scan - Dec."
SCNDIR   , "Scan direction"
SCNRA0   , "Start of scan - RA"
SCNRAF   , "End of scan - Dec."
SCNRATE  , "Scan rate"
SIBS_X   , "SI Boresight (x)"
SIBS_Y   , "SI Boresight (y)"
SLIT     , "Instrument slit"
SPATFILE , "Spatial calibration file"
SPECTEL1 , "First spectral element"
SPECTEL2 , "Second spectral element"
SRCTYPE  , "Source type"
SUBARRNO , "Number of subarrays used"
TELAPSE  , "Time elapsed"
TELCONF  , "Telescope configuration"
TELEL    , "Telescope elevation"
TELEQUI  , "Equinox of ERF coordinates"
TELESCOP , "Telescope name"
TELDEC   , "SI boresight Dec"
TELLOS   , "Telescope LOS"
TELRA    , "SI boresight RA"
TELVPA   , "SI boresight VPA"
TELXEL   , "Telescope cross elevation"
TEMP_OUT , "Air temperature outside aircraft"
TEMPPRI1 , "Temperature of primary mirror"
TEMPPRI2 , "Temperature of primary mirror"
TEMPPRI3 , "Temperature of primary mirror"
TEMPSEC1 , "Temperature of secondary mirror"
TRACERR  , "Tracking error flag"
TRACKANG , "Aircraft track angle"
TRACMODE , "Tracking mode"
TSC-STAT , "TASCU status at obs. end"
UTCEND   , "UTC of exposure end"
UTCSTART , "UTC of exposure start"
WAVECENT , "Central wavelength of observation"
WAVEFILE , "Wavelength calibration file"
WVSCALE  , "Transmission scaling factor, given WV"
WVZ_END  , "Water vapor at zenith, obs. end"
WVZ_STA  , "Water vapor at zenith, obs. start"
XPOSURE  , "Exposure time"
ZA_END   , "Telescope zenith angle, obs. end"
ZA_START , "Telescope zenith angle, obs. start"
